,ND slope,ND var slope,FD slope,FD var slope
ord1: negative,[-0.008; -0.002],[-0.019; -0.01],[-2.239; -1.228],[0.363; 1.025]
ord1: unrestricted,[-0.0; 0.006],[-0.011; -0.006],[-1.327; -0.861],[0.159; 0.478]
ord1: positive,[-0.001; 0.002],[-0.025; -0.02],[-1.403; -0.943],[0.192; 0.493]
ord2: negative,[-0.002; 0.001],[-0.02; -0.008],[-1.257; -0.77],[0.2; 0.592]
ord2: absent,[-0.004; 0.002],[-0.024; -0.009],[-1.273; -0.946],[0.157; 0.457]
ord2: positive,[-0.004; 0.003],[-0.024; -0.01],[-2.247; -1.235],[0.158; 0.8]
ord2: unrestricted,[-0.003; 0.002],[-0.021; -0.009],[-1.74; -1.143],[0.264; 0.785]
ord3: absent,[-0.003; 0.002],[-0.023; -0.009],[-1.607; -1.0],[0.241; 0.719]
ord3: present,[-0.003; 0.002],[-0.022; -0.009],[-1.637; -0.949],[0.167; 0.602]
con: high,[-0.002; 0.001],[-0.021; -0.008],[-1.601; -1.0],[0.209; 0.675]
con: middle,[-0.005; 0.003],[-0.024; -0.009],[-1.684; -0.949],[0.22; 0.729]
con: low,[-0.003; 0.002],[-0.022; -0.009],[-1.615; -0.962],[0.17; 0.533]
cor: negative,[-0.003; 0.002],[-0.022; -0.009],[-1.612; -1.065],[0.33; 0.769]
cor: positive,[-0.003; 0.002],[-0.019; -0.006],[-1.861; -0.991],[0.225; 0.663]
cor: none,[-0.003; 0.002],[-0.024; -0.014],[-1.437; -0.912],[0.142; 0.429]
indirect: absent,[-0.003; 0.002],[-0.022; -0.009],[-1.478; -1.0],[0.184; 0.559]
indirect: present,[-0.003; 0.002],[-0.022; -0.009],[-1.879; -0.944],[0.225; 0.729]
