species,m,w,Sinit,intr_growth,alphas
1,-0.118886024,0.13,2,0.943065589,0.988404123224238|0.0376425773516754
2,0.118881643,0.13,2,0.943068645,0.0376425773516754|0.988372415016949
1,-0.209824919,0.13,3,0.823495149,0.988404123224238|0.0775399926290932|3.74031953875529e-05
2,1.29E-05,0.13,3,0.999600024,0.0775399926290932|0.988372415016949|0.0775404882175849
3,0.209840599,0.13,3,0.823472849,3.74031953875529e-05|0.0775404882175849|0.988519020765203
1,-0.278221813,0.13,4,0.689971627,0.988404123224238|0.130472598295913|0.000371895432854126|1.66255834793292e-08
2,-0.091059291,0.13,4,0.966432847,0.130472598295913|0.988372415016949|0.145188824794553|0.000372440619846927
3,0.091089375,0.13,4,0.96641606,0.000371895432854126|0.145188824794553|0.988519020765203|0.130488156552574
4,0.27823091,0.13,4,0.689953845,1.66255834793292e-08|0.000372440619846927|0.130488156552574|0.988474594630078
1,-0.374700815,0.13,5,0.437991932,0.988221391518832|0.205247572380515|0.000294871916507273|2.61105745229402e-09|7.89673693546297e-15
2,-0.209793119,0.13,5,0.823549511,0.205247572380515|0.988432331100769|0.0775272475409973|3.74193893863613e-05|2.61269650857259e-09
3,3.51E-05,0.13,5,0.99960573,0.000294871916507273|0.0775272475409973|0.988535569543283|0.0775209260218428|0.000294929923251541
4,0.209860471,0.13,5,0.823439021,2.61105745229402e-09|3.74193893863613e-05|0.0775209260218428|0.988505703135426|0.205295613344263
5,0.374744759,0.13,5,0.437864483,7.89673693546297e-15|2.61269650857259e-09|0.000294929923251541|0.205295613344263|0.988343705317854
1,-0.351878014,0.13,6,0.504326962,0.988357691755115|0.301120683631163|0.00974702810148921|3.51399163562555e-05|1.29123181667054e-08|3.66245159411743e-13
2,-0.208490885,0.13,6,0.825732522,0.301120683631163|0.988552227659677|0.321829674729292|0.0114767564224667|4.25372760872111e-05|1.29382193219116e-08
3,-0.06916568,0.13,6,0.980457207,0.00974702810148921|0.321829674729292|0.98816529067725|0.327149706478066|0.011476978294203|3.51761166963894e-05
4,0.069152609,0.13,6,0.980464493,3.51399163562555e-05|0.0114767564224667|0.327149706478066|0.98816682271702|0.321841914359626|0.0097513376631699
5,0.208474475,0.13,6,0.825760713,1.29123181667054e-08|4.25372760872111e-05|0.011476978294203|0.321841914359626|0.988575716729007|0.301127090657017
6,0.351863325,0.13,6,0.504364987,3.66245159411743e-13|1.29382193219116e-08|3.51761166963894e-05|0.0097513376631699|0.301127090657017|0.988262757933974
